LABEL,Type,Podr_name_lv1,Podr_name_lv0,Manufacturer,Inkasso,Accounting_center,Connection,Model,Placement_lv0,Placement_lv1,Category,Service_lv1,Service_lv0
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REG,FIL,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REG,FIL,H,SBS
0,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REG,FIL,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REG,FIL,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REG,FIL,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REG,FIL,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REG,FIL,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,6632,PoB,REGVS24,FIL,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,6632,PoB,REGVS24,FIL,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,6632,PoB,REGVS24,FIL,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,NEWP4,FIL,P,SBS
4,ATM,L2,VVB,Third,Enabled,PE,Wire,2000,PoB,REGVS24,FIL,E,SBS
4,ATM,L2,VVB,Third,Enabled,PE,Wire,2000,PoB,REGVS24,FIL,E,SBS
3,ATM,Central,VVB,Second,Enabled,NN,Wire,5600,PoB,ZAP,DRU,ME,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
0,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
3,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
3,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
3,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
3,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
3,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
3,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
3,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
0,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
0,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
0,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
2,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
2,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
2,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
0,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
0,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
0,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
3,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
4,ATM,L2,VVB,Third,Enabled,PE,Wire,2100,PoB,REGVS24,FIL,E,SBS
4,ATM,L2,VVB,Third,Enabled,PE,Wire,2100,PoB,REGVS24,FIL,E,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,6632,PoB,REGVS24,FIL,E,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,6632,PoB,REGVS24,FIL,E,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,6632,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,6632,PoB,REGVS24,FIL,E,SBS
2,ATM,L2,VVB,First,Enabled,PE,Wire,6632,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
0,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
0,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
2,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
3,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,SAL,BA,H,SBS
0,ATM,L1,VVB,First,Enabled,V,Wire,6634,PoB,REGALL24,FIL,H,SBS
3,ATM,L1,VVB,First,Enabled,V,Wire,6634,PoB,REGALL24,FIL,H,SBS
2,ATM,L1,VVB,First,Enabled,V,Wire,6634,PoB,REGALL24,FIL,H,SBS
4,ATM,L1,VVB,First,Enabled,V,Wire,6632,Store,REGFREE,SHO,H,SBS
4,ATM,L1,VVB,First,Enabled,V,Wire,6632,Store,NEW5,MA,H,SBS
4,ATM,L1,VVB,First,Enabled,V,Wire,6632,Store,NEW5,MA,H,SBS
4,ATM,L1,VVB,First,Enabled,V,Wire,6632,Store,REGFREE,TAK,H,SBS
1,ATM,L1,VVB,First,Enabled,V,Wire,6632,Store,REGFREE,TAK,H,SBS
3,ATM,L1,VVB,First,Enabled,V,Wire,6632,Store,REGFREE,TAK,H,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,6632,PoB,REGVS24,FIL,E,SBS
0,ATM,L2,VVB,First,Enabled,PE,Wire,6632,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,6632,PoB,REGVS24,FIL,E,SBS
2,ATM,L2,VVB,First,Enabled,PE,Wire,6632,PoB,REGVS24,FIL,E,SBS
3,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
3,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
3,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
3,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,REGFREE,TAK,H,SBS
3,ATM,L1,VVB,First,Enabled,V,Wire,6632,PoB,REGMOD,LO,H,SBS
4,ATM,Central,VVB,Second,Enabled,SR,Wire,7600,Store,REGZAPFREE,SHO,ME,SBS
4,ATM,Central,VVB,Second,Enabled,SR,Wire,7600,Store,REGZAPFREE,SHO,ME,SBS
0,ATM,Central,VVB,Second,Enabled,SR,Wire,7600,Store,REGZAPFREE,SHO,ME,SBS
4,ATM,Central,VVB,Second,Enabled,SR,Wire,7600,Store,REGZAPFREE,SHO,ME,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,NEWP4,SHO,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,NEWP4,SHO,E,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,NEWP4,SHO,E,SBS
0,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,NEWP4,SHO,E,SBS
0,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,NEWP4,SHO,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,6632,Store,REGFREE,SHO,E,SBS
4,ATM,Central,VVB,Second,Enabled,NN,Wireless,5600,Store,ZAP,NO,ME,SBS
2,ATM,Central,VVB,Second,Enabled,SR,Wireless,5600,Store,REGZAPFREE,SHO,ME,SBS
2,ATM,Central,VVB,Second,Enabled,SR,Wireless,5600,Store,REGZAPFREE,SHO,ME,SBS
2,ATM,Central,VVB,Second,Enabled,SR,Wireless,5600,Store,REGZAPFREE,SHO,ME,SBS
4,ATM,Central,VVB,Second,Enabled,SR,Wireless,5600,Store,REGZAPFREE,SHO,ME,SBS
4,ATM,Central,VVB,Second,Enabled,SR,Wireless,5600,Store,REGZAPFREE,SHO,ME,SBS
4,ATM,Central,VVB,Second,Enabled,SR,Wireless,5600,Store,REGZAPFREE,SHO,ME,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGOS,DRU,E,SBS
0,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGOS,DRU,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGOS,DRU,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGOS,DRU,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGOS,DRU,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGOS,DRU,E,SBS
0,ATM,L2,VVB,First,Enabled,PE,Wire,6632,PoB,REGOS,DRU,E,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,6632,PoB,REGOS,DRU,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,6632,PoB,REGOS,DRU,E,SBS
3,ATM,L2,VVB,Third,Enabled,PE,Wire,2100,PoB,REGVS24,FIL,E,SBS
4,ATM,L2,VVB,Third,Enabled,PE,Wire,2100,PoB,REGVS24,FIL,E,SBS
4,ATM,L2,VVB,Third,Enabled,PE,Wire,2100,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,Third,Enabled,PE,Wire,2100,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,Third,Enabled,PE,Wire,2100,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,Third,Enabled,PE,Wire,2100,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,Third,Enabled,PE,Wire,2100,PoB,REGVS24,FIL,E,SBS
4,ATM,L2,VVB,Third,Enabled,PE,Wire,2100,PoB,REGVS24,FIL,E,SBS
0,ATM,L2,VVB,Third,Enabled,PE,Wire,2100,PoB,REGVS24,FIL,E,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,NEWP4,TAK,IB,SBS
3,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REGVS24,FIL,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REGVS24,FIL,H,SBS
2,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REGVS24,FIL,H,SBS
2,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REGVS24,FIL,H,SBS
2,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REGVS24,FIL,H,SBS
0,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REGVS24,FIL,H,SBS
3,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REGVS24,FIL,H,SBS
3,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REGVS24,FIL,H,SBS
0,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REGVS24,FIL,H,SBS
0,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,PoB,REGVS24,FIL,H,SBS
4,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,V,OC,H,SBS
4,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,V,OC,H,SBS
4,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,V,OC,H,SBS
4,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,V,OC,H,SBS
4,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,V,OC,H,SBS
4,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,V,OC,H,SBS
