"x"
-1,85154325048898
-2,2924398893399
-2,19793596542893
-2,24831313021642
-1,83232697448158
-1,46219762097701
-1,44298656110892
-1,44361261009688
-1,456162114867
-1,51872950760622
-1,61019718855013
-1,65006615850791
-1,22685316270042
-1,20003888673665
-1,19937868177938
-1,51778259697866
-1,48132215753745
-1,84158600550463
-1,82602136323086
-1,5409460472875
-1,52028224742316
-1,52078158582087
-1,81966523134913
-1,79504564634683
-2,0492644958819
-2,25591957399858
-2,26746714627283
-2,26701936937573
-2,27032251822531
-2,60997401423411
-2,25831568687481
-1,81646475899467
-1,49062427434722
-1,64480318459409
-1,62177284645821
-1,61925242069418
-1,47406559419183
-1,90108516032795
-1,91369393446145
-1,69487825663877
-1,27385580876265
-1,31311214273755
-1,31339202898545
-1,65202166006657
-1,29957032144727
-1,10294074261252
-1,28231337602629
-1,09295252415096
-1,07134956793608
-1,07289414010942
-0,901153158417107
-1,21829748847267
-1,38064831403654
-1,63591120730652
-1,51569253563358
-1,51040240093514
-1,51387359380138
-2,11683036100893
-1,85362834973426
-1,4931727853271
-1,10859913038727
-1,43979262289711
-1,45266688651096
-1,45274739318883
-2,24057143622023
-1,95138591898
-1,49033993166654
-1,41493519518023
-0,860406335334661
-0,860931620095618
-0,859953905778011
-1,59806184942568
-1,39415277307228
-1,58093704989902
-1,10671843489422
-0,474459242965873
-0,450475852476373
-0,450056358285439
-0,643157215698794
-1,06881610180991
-1,02693416396695
-1,24627290874375
-1,33586026409083
-1,42418027081955
-1,42543401462994
-1,63106858668722
-1,45554801774915
-1,44183857632307
-1,83348205739804
-1,3495570498765
-1,33554371609777
-1,33240136116313
-1,83110712936429
-1,81574295600261
-1,83169154446747
-1,75467991109068
-1,31358859827226
-1,30737935473582
-1,30431453294682
-1,52905382616177
-1,5003417534891
-0,924983432753677
-0,481897286325714
-0,492100957534179
-0,483378292494696
-0,481864419729482
-0,769593348120997
-0,537742261284968
-0,737640166758213
-0,920446560968975
-0,692356818492688
-0,685555001668197
-0,684780475375712
-0,974781084816377
-1,17558847924071
-1,2312239586919
-1,09975885392652
-1,0441412335169
-1,04052341458592
-1,0415911589414
-1,1211819591785
-1,157782127049
-0,903885776462702
-0,525873650808978
-0,799033506134271
-0,701947712325054
-0,698866716791477
-0,871596287861944
-0,688668333819722
-1,02521986748794
-0,837501195564707
-0,273318209738111
-0,267072887765107
-0,263911628572222
-0,46842619960879
-0,210317800957737
-0,330268910498297
-0,346118766221806
